manufacture,ASIN,description
Wesley Milestone,B07NJRPJ6Q,15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black) 
Storite Dust,B0C7ZWNBJZ,"& Rain Cover for Backpack with Pouch, Waterproof Dustproof Rain Cover Bag Elastic Adjustable for School, College,Office, Trekking Bags (30L-35L,Black) "
Mi Step,B088XG77KN,"Out 12 L Mini Backpack (Small Size, Red, Water Repellant) "
Genie Flamenco2,B08YF9VHTY,Casual Backpacks for Women 
DEIN KLEIDER,B084ZHP97M,Men's Nylon Messenger Bag 
STRABO Cooper,B0BX9SVT1D,"for Boys Girls Stylish Men and Women Casual 15"" inch 25L CANVAS Laptop BACKPACK | Office, College, Travel Bag "
NORTH ZONE,B0BL3SPN16,Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office 
American Tourister,B07CGLDV2C,Casual Backpack 
Half Moon,B0BHX7GY16,Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover 
Bennett™ Mystic,B08X2T2M8G,Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty 
Tommy Hilfiger,B07N8GRWTZ,Joshua Laptop Backpack 
Bagneeds Men's,B0855F8174,Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men 
Wooum Crossbody,B0C1K59WV5,"Sling Bag - Durable Shoulder Bag with Adjustable Strap One Side Bag for Commuting Travel Outdoor Activities Cycling - Sling Bag Travel Hiking Chest Bag Daypack – Colour Black-Grey – (Pack of 1 Bag) - Unisex Cross Body Backpack for Travel, College, Tuition "
NORTH ZONE,B0BS6QM2GD,Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L 
