product_name,price,rating,Number_of_Reviews,Product_url
"POLESTAR Noble 32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",₹579,3.9 out of 5 stars,"17,691",https://www.amazon.in/POLESTAR-Casual-bagpack-School-Backpack/dp/B07PQQ8M7B
"Glowic Canvas Grocery, Travel, Beach | Shoulder Handbags Women, College Bags for Girls Stylish Trendy(WBAG-50)",₹489,3.5 out of 5 stars,244,https://www.amazon.in/Glowic-Grocery-Shoulder-Handbags-WBAG-50/dp/B09YRWZBW8
Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric,₹399,4.2 out of 5 stars,644,https://www.amazon.in/Amazon-Basics-Casual-Backpack-15-6-inch/dp/B09W4WJ1CB
"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook","₹1,049",4.2 out of 5 stars,251,https://www.amazon.in/Backpack-Business-Backpacks-Charging-Resistant/dp/B094DGXXR5
COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Maroon College Bag,"₹1,409",4.2 out of 5 stars,"1,413",https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF
"Aurion Vista Polyester Sports Gym Duffle Bag with Wet Pocket and Shoe Compartment - 1Pc (Blue, 24 Cms) | Lightweight Duffle Bags | Travel Duffel Backpack for Men and Women | Camping | Swimming | Yoga",₹349,4.0 out of 5 stars,"1,085",https://www.amazon.in/Shoulder-Lightweight-Duffle-Weekend-Blue-Orange/dp/B09139DYF1
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹699,3.9 out of 5 stars,337,https://www.amazon.in/Half-Moon-Resistant-Laptop-Backpack/dp/B09842K4RQ
Aristrocrat Unisex Laptop Bag Grey One Size,₹799,4.3 out of 5 stars,29,https://www.amazon.in/Aristocrat-Zeal-Unisex-Grey-Laptop/dp/B0B5YHC1W5
satellite backpacks for men women backpack bags school bag boys under 35 ltr litres casual bagpack black,₹516,3.9 out of 5 stars,363,https://www.amazon.in/SATELLITE-Black-Casual-Backpack-Bagpack/dp/B083DZVFZM
ASIAN Sling Bag for Women - Handmade Bags for Females - Jute and Indian Fabric Slings - Side Bags for Mobile Phones and Wallets (Black),₹224,3.5 out of 5 stars,103,https://www.amazon.in/ASIAN-Sling-Bag-women-Handmade/dp/B09SXRZ7FW
RAPTORS 35L Water Resistant 15.6 inch Laptop Backpack bag for men and women Office/School/Travel/Business Padded with Laptop Compartment,₹719,5.0 out of 5 stars,5,https://www.amazon.in/RAPTORS-Resistant-Backpack-Business-Compartment/dp/B0C4Q4WN6V
POLICE Polyester 35 Ltr Laptop Big Low Spec Laptop Backpack - Black/Navy,"₹1,569",3.3 out of 5 stars,213,https://www.amazon.in/Police-Polyester-Laptop-Spec-Backpack/dp/B07ZB8NWTZ
K London Stylish Real Leather Black Waist Bag Elegant Style Travel Pouch Passport Holder with Adjustable Strap(246_Black),₹335,4.2 out of 5 stars,"2,372",https://www.amazon.in/London-Stylish-Passport-Adjustable-246_Black/dp/B07ZFT873B
